#Place a list of target domains or URLs below, one per line.
#https://chicagotribune.com
#http://latimes.com/sports
#washingtonpost.com
#http://nytimes.com/index.html
#Put this in your /etc/hosts file for local testing
#127.0.0.1    localhostgazette.com
#this doesn't resolve, should skip
wonkette.com,wonkettecom
wired.com,wired
whtimes.co.uk,welwyn-hatfield-times
web.archive.org,dangerplay
web.archive.org,thenetofficial
wealthycontrarian.com,wealthy-contrarian
w14.readheroacademia.com,readheroacademia
w12.readonepunchman.net,read-one-punch-man
w1.readnanatsutaizai.net,readnanatsunotaizai
virakesari.lk,virakesarilk
varthabharati.in,varthabharati
vacanze.teamworld.it,teamworldvacanze
uppermichiganssource.com,wluctv
universal.wdwinfo.com,thedisuniversal
unitypoint.org,unitypointlivewell
ufpnews.com,ufpnews
uagna.it,uagnait
tvbythenumbers.zap2it.com,tvbtnew
tv2.no,broom-no
tribuneindia.com,tribuneindia
trendstreamer.com,leadstories
travelvalley.nl,blogideafactory
tozsdeforum.hu,tozsdeforum
topdrawersoccer.com,the91stminute
topdrawersoccer.com,topdrawersoccer
tlnt.com,eremedia
tidningenridsport.se,tidningenridsport-1
thelatestnews.com,thelatestnews
thefinancialdiet.com,thefinancialdiet
thedeadbolt.com,thedeadbolt1
thecomet.net,the-comet
thecomeback.com,thecomeback-com
thebridalbox.com,thebridalboxcom
texas.thefootballbrainiacs.com,texasthefootballbrainiacs
tastingtable.com,tastingtable
talouselama.fi,talouselama
tabletowo.pl,tabletowopl
stellar.ie,stellar-magazine
stakingtheplains.com,stakingtheplains
sscadda.com,sscadda4
sport.co.uk,digitalsportsgroup
sideload.tweakboxapp.com,tweakbox
serenesforest.net,serenesforest
secretflying.com,secretflying
screengeek.net,realscreengeek
scrabble.merriam.com,mw-sbl
sanatan.org,sanatanorg
rustylake.com,rustylake
ripplesnigeria.com,ripplesdaily
retouchist.net,retouchistblog
religionnews.com,religionnews
readshingekinokyojin.com,readshingekinokyojin
rap-up.com,rap-up
rachaelraymag.com,rachaelraymag-com
purrtacular.com,purrtacular
pudhari.news,www-pudhari-news
propertyobserver.com.au,wwwpropertyobservercomau
pop.inquirer.net,inqpop
pixelbuddha.net,pixelbuddha
photographyblog.com,photography-blog-1
periodicolaperla.com,periodicolaperla
pann-choa.blogspot.com,pannchoa-blogspotcom
pakistantimes.com,pktimes
ordinacija.vecernji.hr,ohradmin
optclean.com.br,optcleanbr
onnit.com,onnitacademy
online-literature.com,onlineliterature
oggitreviso.it,oggitreviso
nyugatifeny.hu,nyugati-feny
novi.ba,noviba
noendcomic.com,no-end
news.mb.com.ph,news-mb
netflu.com.br,netflu
natelinha.uol.com.br,natelinha-1
napidroid.hu,napidroid
motorsport.uol.com.br,brmotorsportcom
miprepzone.com,miprepzone
michellephan.com,michellephan
merolagani.com,merolagani
meineke.com,meineke
medme.pl,medme
maxifoot.fr,maxifoot
m.vicksburgpost.com,thevicksburgpost
m.shelbycountyreporter.com,shelbycountyreporter
m.le360.ma,le360sportar
m.calciomercato.com,calciomercatodotcom
m.andalusiastarnews.com,andalusiastarnews
lostnightmare.com,lostnightmarecomic
liga3-online.de,liga3onlinede
legitgifts.com,legitgifts-1
lansi-savo.fi,lansi-savo
ladige.it,ladige
kymensanomat.fi,kymen-sanomat
ktuu.com,ktuu
kpopkfans.blogspot.com,kpopkfans2
kollegekidd.com,kollegekiddwordpress
k-gen.fr,k-gen-1
jp.motorsport.com,jpmotorsportcom
johnsoncitypress.com,sngjohnsoncitypress
jlinportal.com,jlinportal
jeffpearlman.com,jpearlman
ita-savo.fi,ita-savo
inspirational.quotesms.com,quotesms
insidesurvivor.com,insidesurvivor
inkigeul.blogspot.com,inkigeul-blogspot-com
indieobscura.com,indieobscura
indiandefensenews.in,idndisqus
independent.com.mt,themaltaindependent
in.pcmag.com,pcmag-in
humanmetrics.com,humanmetrics
https://zumic.com/,zumic
https://zonawrestling.net,zonawrestlingwip
https://yubanet.com,yubanet
https://www.yesasia.ru/,yesasia-1
https://www.xiaomitoday.com,xiaomitoday
https://www.xda-developers.com/,xdaportal
https://www.wwaytv3.com,wway
https://www.wrestlenewz.com/,wrestlenewz-rm
https://www.worthofweb.com/,worthofwebmain
https://www.wonderslist.com/,wonderslist
https://www.wondershare.com,wondershare
https://www.wkbn.com/,wkbn
https://www.withinnigeria.com,withinnigeria
https://www.wcbi.com,wcbi4
https://www.waynedupree.com,http-www-waynedupree-com
https://www.vortez.net/,vortez
https://www.vanguardngr.com/,vanguardng
https://www.valdovaccaro.com,valdovaccaro
https://www.vagalume.com.br,vagalume
https://www.vagaemprego.com.br/,vaga-emprego
https://www.udlaspalmas.net/,udlaspalmasnet
https://www.tuttotech.net,tuttotech-1
https://www.tuttoandroid.net,tuttoandroid
https://www.turdanews.net/,turdanews
https://www.truthinsideofyou.org/,truthinsideofyou
https://www.truthdig.com/,truthdig
https://www.treklightgear.com/blogs/trek-life,treklife
https://www.tpww.net,tpww
https://www.topstudyworld.com,studytiips
https://www.topendsports.com/,topendsports
https://www.tomshw.it,tomshardware
https://www.tobyscs.com,tobyscs
https://www.thisisanfield.com,thisisanfield
https://www.thepressproject.gr,thepressproject
https://www.thepolyglotdeveloper.com,nraboy
https://www.thepinnaclelist.com,thepinnaclelist
https://www.thefactsite.com,funkyfacts
https://www.thecentsableshoppin.com/,thecentsableshoppin
https://www.texasmonthly.com/,texasmonthly
https://www.tesfanews.net,tesfanews
https://www.terra.com.br,terranetworks
https://www.tenniskafe.com/,tenniskafe
https://www.tendencias.tech,tendenciastech
https://www.technorms.com/,vikitech
https://www.technopat.net/,technopat
https://www.tamindir.com/,tamindircom
https://www.sundaymail.co.zw/,sundaymail
